,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,6.674e-11
1,Sirius,8.6,2.1,1.71,4.793064532676721e-11
2,Canopus,310.0,15.0,71.0,1.9859154929577466e-13
3,Alpha Centauri,4.4,1.1,1.2,5.098194444444445e-11
4,Arcturus,37.0,1.1,26.0,1.0860059171597634e-13
5,Vega,25.0,2.2,2.7,2.0141015089163235e-11
6,Capella,43.0,2.6,12.0,1.205027777777778e-12
7,Rigel,860.0,23.0,78.9,2.465812398296603e-13
8,Procyon,11.4,1.5,1.9,2.773130193905817e-11
9,Betelgeuse,640.0,20.0,950.0,1.4790027700831026e-15
10,Achernar,144.0,6.7,9.3,5.170054341542374e-12
11,Hadar,390.0,10.5,8.6,9.474986479177934e-12
12,Altair,17.0,1.8,1.8,3.707777777777777e-11
13,Acrux,320.0,18.0,8.9,1.5166266885494255e-11
14,Aldebaran,65.0,1.5,44.0,5.1709710743801666e-14
15,Antares,600.0,12.0,680.0,1.7320069204152247e-15
16,Spica,260.0,11.43,7.47,1.3670714988467927e-11
17,Pollux,34.0,1.9,8.8,1.6374741735537186e-12
18,Fomalhaut,25.0,1.9,1.8,3.9137654320987646e-11
19,Deneb,2600.0,19.0,203.0,3.077143342473732e-14
20,Mimosa,350.0,16.0,8.4,1.513378684807256e-11
21,Regulus,77.0,3.8,3.1,2.6390426638917788e-11
22,Adhara,430.0,12.5,14.0,4.256377551020408e-12
23,Shaula,700.0,14.5,8.8,1.2496513429752065e-11
24,Castor,52.0,2.8,2.4,3.244305555555555e-11
25,Gacrux,88.0,1.5,84.0,1.4187925170068024e-14
26,Bellatrix,240.0,8.6,5.8,1.706195005945303e-11
27,Elnath,130.0,5.0,4.2,1.8917233560090694e-11
28,Miaplacidus,110.0,3.5,6.8,5.051686851211072e-12
29,Alnilam,2000.0,32.0,42.0,1.210702947845805e-12
30,Gamma Velorum,1100.0,9.0,6.0,1.6685e-11
31,Alnair,101.0,4.0,3.4,2.3093425605536327e-11
32,Alioth,81.0,2.9,4.2,1.0971995464852608e-11
33,Alnitak,1050.0,33.0,20.0,5.50605e-12
34,Dubhe,120.0,4.25,30.0,3.1516111111111107e-13
35,Mirfak,590.0,8.5,68.0,1.2268382352941174e-13
36,Wezen,1600.0,17.0,200.0,2.83645e-14
37,Sargas,270.0,5.7,26.0,5.627485207100589e-13
38,Kaus Australis,140.0,3.5,6.8,5.051686851211072e-12
39,Avior,630.0,9.0,130.0,3.554201183431952e-14
